date,name,type,evidenced_exodus,source_url,notes
2026-01-01,New Year's Day,restricted_holiday,false,https://factohr.com/holiday-list-in-india/karnataka/,
2026-01-26,Republic Day,national_holiday,false,https://factohr.com/holiday-list-in-india/karnataka/,
2026-03-19,Ugadi,festival,false,https://factohr.com/holiday-list-in-india/karnataka/,Karnataka New Year; not directly evidenced this session
2026-04-03,Mahaveera Jayanti,festival,false,https://factohr.com/holiday-list-in-india/karnataka/,
2026-04-14,Good Friday,national_holiday,false,https://factohr.com/holiday-list-in-india/karnataka/,
2026-04-20,Dr. B.R. Ambedkar Jayanti / Basava Jayanti,festival,false,https://factohr.com/holiday-list-in-india/karnataka/,
2026-05-01,May Day,national_holiday,false,https://factohr.com/holiday-list-in-india/karnataka/,
2026-08-15,Independence Day,national_holiday,false,https://factohr.com/holiday-list-in-india/karnataka/,
2026-09-14,Ganesh Chaturthi (Gauri-Ganesha),festival,true,https://newsable.asianetnews.com/karnataka-news/watch-viral-video-bengaluru-holiday-rush-sees-residents-head-home-private-buses-hike-fares-articleshow-8sx2w15,"Directly evidenced this session: Sep 12 (2nd Saturday) + Sep 13 (Sun) + Sep 14 created a 4-day window; mass exodus on Fri Sep 11 gridlocked every major exit corridor from ~5PM"
2026-09-21,Mahalaya Amavasye,festival,false,https://factohr.com/holiday-list-in-india/karnataka/,
2026-10-02,Mahatma Gandhi Jayanti,national_holiday,false,https://factohr.com/holiday-list-in-india/karnataka/,
2026-10-20,Mahanavami,festival,false,https://factohr.com/holiday-list-in-india/karnataka/,
2026-10-21,Vijayadashami/Dussehra,festival,false,https://factohr.com/holiday-list-in-india/karnataka/,Multi-day Dussehra period; strong prior for exodus by analogy to Ganesh Chaturthi, not directly evidenced this session
2026-11-01,Kannada Rajyotsava,state_holiday,false,https://factohr.com/holiday-list-in-india/karnataka/,
2026-11-10,Deepavali,festival,false,https://factohr.com/holiday-list-in-india/karnataka/,Major multi-day home-travel festival nationally; strong prior for exodus by analogy, not directly evidenced this session
2026-11-27,Kanakadasa Jayanti,festival,false,https://factohr.com/holiday-list-in-india/karnataka/,
2026-12-25,Christmas Day,national_holiday,false,https://factohr.com/holiday-list-in-india/karnataka/,
